epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9516,0.63396,1.43177,1.16658,0.92487,0.93867,0.96256,0.88263,0.37494,0.39179,0.88735,0.00333034,0.00333034,0.00333034
2,194.764,0.51195,0.5726,1.00638,0.95666,0.99461,0.99338,0.90626,0.39606,0.35449,0.8926,0.00663069,0.00663069,0.00663069
3,288.169,0.57123,0.59004,1.03273,0.98141,0.99025,0.99318,0.87847,0.45116,0.43438,0.92904,0.00989804,0.00989804,0.00989804
4,381.845,0.61859,0.62972,1.04771,0.97922,0.98369,0.99174,0.88789,0.46066,0.45768,0.9393,0.0098515,0.0098515,0.0098515
5,472.943,0.607,0.5791,1.03929,0.95406,0.98822,0.98336,0.88693,0.46765,0.41168,0.93518,0.009802,0.009802,0.009802
6,563.923,0.56836,0.53797,1.02726,0.98394,0.99531,0.99152,0.90214,0.43171,0.31815,0.93009,0.0097525,0.0097525,0.0097525
7,661.674,0.55474,0.50108,1.01184,0.99128,0.98821,0.99414,0.91254,0.39265,0.3078,0.8838,0.009703,0.009703,0.009703
8,752.593,0.54311,0.47721,1.00919,0.99604,0.99832,0.99364,0.92023,0.38941,0.27886,0.89345,0.0096535,0.0096535,0.0096535
9,843.467,0.52622,0.46135,0.99843,0.99383,0.98752,0.9932,0.92081,0.36287,0.28939,0.8598,0.009604,0.009604,0.009604
10,934.491,0.50648,0.43587,0.98757,0.99263,0.99497,0.99347,0.92411,0.36658,0.30005,0.87957,0.0095545,0.0095545,0.0095545
11,1031.05,0.50543,0.43159,0.98438,0.99055,0.97846,0.99461,0.92646,0.37308,0.2915,0.87139,0.009505,0.009505,0.009505
12,1122,0.49132,0.40509,0.97939,0.99569,0.99832,0.99346,0.93225,0.33936,0.25756,0.85501,0.0094555,0.0094555,0.0094555
13,1212.92,0.4814,0.39992,0.9744,0.93576,0.9682,0.97707,0.91522,0.34408,0.44103,0.86127,0.009406,0.009406,0.009406
14,1303.48,0.48416,0.40141,0.97939,0.99391,0.9959,0.99368,0.92764,0.35164,0.27052,0.8563,0.0093565,0.0093565,0.0093565
15,1394.81,0.47274,0.39285,0.9717,0.99403,0.99524,0.99394,0.94036,0.3247,0.24464,0.85184,0.009307,0.009307,0.009307
16,1485.6,0.45925,0.38293,0.96712,0.98011,0.98991,0.99373,0.93672,0.32605,0.25659,0.85275,0.0092575,0.0092575,0.0092575
17,1576.33,0.4649,0.37636,0.96912,0.99523,0.99729,0.99463,0.93668,0.32111,0.23233,0.86251,0.009208,0.009208,0.009208
18,1667.35,0.45513,0.36114,0.96544,0.99599,0.99553,0.99363,0.94311,0.31566,0.23993,0.84622,0.0091585,0.0091585,0.0091585
19,1757.91,0.44919,0.3542,0.95906,0.99743,0.99832,0.99346,0.94406,0.31281,0.22927,0.84104,0.009109,0.009109,0.009109
20,1850.9,0.44626,0.34467,0.96331,0.99691,0.99832,0.99401,0.94798,0.309,0.21986,0.83821,0.0090595,0.0090595,0.0090595
21,1954.29,0.43183,0.35019,0.95215,0.99657,0.99737,0.99393,0.94467,0.29814,0.22734,0.83241,0.00901,0.00901,0.00901
22,2056.16,0.43597,0.35093,0.95466,0.99759,0.99832,0.99367,0.94688,0.2917,0.21727,0.82986,0.0089605,0.0089605,0.0089605
23,2159.89,0.42404,0.33278,0.9452,0.99747,0.99832,0.99418,0.95241,0.30272,0.21513,0.83003,0.008911,0.008911,0.008911
24,2262.17,0.42731,0.33429,0.94778,0.99689,0.99832,0.99443,0.95433,0.28298,0.20961,0.82351,0.0088615,0.0088615,0.0088615
25,2359.83,0.42301,0.32088,0.94367,0.99696,0.99832,0.9947,0.95437,0.2911,0.21219,0.82342,0.008812,0.008812,0.008812
26,2457.46,0.41323,0.32317,0.94133,0.99766,0.99832,0.9944,0.94667,0.29661,0.21774,0.82894,0.0087625,0.0087625,0.0087625
27,2554.76,0.41198,0.3209,0.94021,0.99531,0.99832,0.99413,0.95103,0.29087,0.20952,0.82763,0.008713,0.008713,0.008713
28,2651.51,0.40527,0.31788,0.93717,0.99744,0.99832,0.99443,0.95579,0.29541,0.20361,0.82836,0.0086635,0.0086635,0.0086635
29,2748.58,0.39673,0.30119,0.9341,0.99756,0.99832,0.99403,0.9549,0.28374,0.21214,0.82306,0.008614,0.008614,0.008614
30,2845.72,0.39506,0.30795,0.93598,0.99738,0.99832,0.99423,0.95408,0.29176,0.21477,0.82796,0.0085645,0.0085645,0.0085645
31,2942.71,0.39814,0.31127,0.93448,0.996,0.99832,0.99431,0.95758,0.28127,0.20281,0.82235,0.008515,0.008515,0.008515
32,3039.74,0.39876,0.31129,0.93388,0.99756,0.99832,0.99394,0.9523,0.28979,0.20034,0.82799,0.0084655,0.0084655,0.0084655
33,3136.57,0.38724,0.30374,0.93182,0.99392,0.99826,0.9946,0.9574,0.26768,0.19695,0.81236,0.008416,0.008416,0.008416
34,3233.38,0.3897,0.30139,0.93421,0.99775,0.99832,0.99396,0.95805,0.27405,0.20859,0.81704,0.0083665,0.0083665,0.0083665
35,3330,0.39037,0.29947,0.92801,0.99757,0.99832,0.9944,0.95795,0.27916,0.20071,0.8172,0.008317,0.008317,0.008317
